Species,reformated
Prevotella_sp_oral_taxon_306,Prevotella sp. oral taxon 306
Prevotella_stercorea,Prevotella stercorea
Prevotella_timonensis,Prevotella timonensis
Prevotella_veroralis,Prevotella veroralis
Propionibacterium_freudenreichii,Propionibacterium freudenreichii
Proteobacteria_bacterium_CAG_139,Proteobacteria bacterium CAG:139
Proteobacteria_bacterium_CAG_495,Proteobacteria bacterium CAG:495
Proteus_mirabilis,Proteus mirabilis
Pseudoflavonifractor_capillosus,Pseudoflavonifractor capillosus
Pseudoflavonifractor_sp_An184,Pseudoflavonifractor sp. An184
Pseudomonas_extremaustralis,Pseudomonas extremaustralis
Pyramidobacter_piscolens,Pyramidobacter piscolens
Romboutsia_ilealis,Romboutsia ilealis
Roseburia_faecis,Roseburia faecis
Roseburia_hominis,Roseburia hominis
Roseburia_intestinalis,Roseburia intestinalis
Roseburia_inulinivorans,Roseburia inulinivorans
Roseburia_sp_CAG_100,Roseburia sp. CAG:100
Roseburia_sp_CAG_10041_57,Roseburia sp. CAG:10041 57
Roseburia_sp_CAG_182,Roseburia sp. CAG:182
Roseburia_sp_CAG_197,Roseburia sp. CAG:197
Roseburia_sp_CAG_303,Roseburia sp. CAG:303
Roseburia_sp_CAG_309,Roseburia sp. CAG:309
Roseburia_sp_CAG_380,Roseburia sp. CAG:380
Roseburia_sp_CAG_471,Roseburia sp. CAG:471
Rothia_aeria,Rothia aeria
Rothia_dentocariosa,Rothia dentocariosa
Rothia_mucilaginosa,Rothia mucilaginosa
Ruminococcaceae_bacterium_D16,Ruminococcaceae bacterium D16
Ruminococcaceae_bacterium_D5,Ruminococcaceae bacterium D5
Ruminococcaceae_bacterium_KLE1738,Ruminococcaceae bacterium KLE1738
Ruminococcus_bicirculans,Ruminococcus bicirculans
Ruminococcus_bromii,Ruminococcus bromii
Ruminococcus_callidus,Ruminococcus callidus
Ruminococcus_champanellensis,Ruminococcus champanellensis
Ruminococcus_gnavus,[Ruminococcus] gnavus
Ruminococcus_lactaris,[Ruminococcus] lactaris
Ruminococcus_sp_37_24,Ruminococcus sp. 37 24
Ruminococcus_sp_AF31_8BH,Ruminococcus sp. AF31 8BH
Ruminococcus_sp_CAG_177,Ruminococcus sp. CAG:177
Ruminococcus_sp_CAG_254,Ruminococcus sp. CAG:254
Ruminococcus_sp_CAG_330,Ruminococcus sp. CAG:330
Ruminococcus_sp_CAG_353,Ruminococcus sp. CAG:353
Ruminococcus_sp_CAG_382,Ruminococcus sp. CAG:382
Ruminococcus_sp_CAG_403,Ruminococcus sp. CAG:403
Ruminococcus_sp_CAG_488,Ruminococcus sp. CAG:488
Ruminococcus_sp_CAG_563,Ruminococcus sp. CAG:563
Ruminococcus_sp_CAG_724,Ruminococcus sp. CAG:724
Ruminococcus_torques,[Ruminococcus] torques
Ruthenibacterium_lactatiformans,Ruthenibacterium lactatiformans
Sanguibacteroides_justesenii,Sanguibacteroides justesenii
Selenomonas_flueggei,Selenomonas flueggei
Selenomonas_sp_oral_taxon_892,Selenomonas sp. oral taxon 892
Sellimonas_intestinalis,Sellimonas intestinalis
Senegalimassilia_anaerobia,Senegalimassilia anaerobia
Slackia_exigua,Slackia exigua
Slackia_isoflavoniconvertens,Slackia isoflavoniconvertens
Slackia_piriformis,Slackia piriformis
Solobacterium_moorei,Solobacterium moorei
Staphylococcus_epidermidis,Staphylococcus epidermidis
Stomatobaculum_longum,Stomatobaculum longum
Streptococcus_anginosus_group,Streptococcus anginosus group
Streptococcus_australis,Streptococcus australis
Streptococcus_cristatus,Streptococcus cristatus
Streptococcus_gordonii,Streptococcus gordonii
Streptococcus_infantis,Streptococcus infantis
Streptococcus_milleri,Streptococcus milleri
Streptococcus_mitis,Streptococcus mitis
Streptococcus_mutans,Streptococcus mutans
Streptococcus_oralis,Streptococcus oralis
Streptococcus_parasanguinis,Streptococcus parasanguinis
Streptococcus_pasteurianus,Streptococcus pasteurianus
Streptococcus_pseudopneumoniae,Streptococcus pseudopneumoniae
Streptococcus_salivarius,Streptococcus salivarius
Streptococcus_sanguinis,Streptococcus sanguinis
Streptococcus_sp_A12,Streptococcus sp. A12
Streptococcus_sp_F0442,Streptococcus sp. F0442
Streptococcus_sp_HMSC070B10,Streptococcus sp. HMSC070B10
Streptococcus_sp_HMSC071D03,Streptococcus sp. HMSC071D03
Streptococcus_sp_M334,Streptococcus sp. M334
Streptococcus_thermophilus,Streptococcus thermophilus
Subdoligranulum_sp,Subdoligranulum sp
Subdoligranulum_sp_APC924_74,Subdoligranulum sp. APC924 74
Sutterella_sp_CAG_351,Sutterella sp. CAG:351
Sutterella_sp_CAG_397,Sutterella sp. CAG:397
Sutterella_wadsworthensis,Sutterella wadsworthensis
Terrisporobacter_othiniensis,Terrisporobacter othiniensis
Turicibacter_sanguinis,Turicibacter sanguinis
Turicimonas_muris,Turicimonas muris
Tyzzerella_nexilis,Tyzzerella nexilis
Tyzzerella_sp,Tyzzerella sp
Varibaculum_cambriense,Varibaculum cambriense
Veillonella_atypica,Veillonella atypica
Veillonella_dispar,Veillonella dispar
Veillonella_infantium,Veillonella infantium
Veillonella_parvula,Veillonella parvula
Veillonella_rodentium,Veillonella rodentium
Veillonella_rogosae,Veillonella rogosae
Veillonella_sp_CAG_933,Veillonella sp. CAG:933
Veillonella_sp_DORA_A_3_16_22,Veillonella sp. DORA A 3 16 22
Veillonella_sp_T11011_6,Veillonella sp. T11011 6
Veillonella_tobetsuensis,Veillonella tobetsuensis
Veillonellaceae_bacterium_DNF00626,Veillonellaceae bacterium DNF00626
Victivallales_bacterium_CCUG_44730,Victivallales bacterium CCUG 44730
Victivallis_vadensis,Victivallis vadensis
